4|0|16391465|0
0|0|16776876|0
8|0|13940346|0
11|0|14122671|0
12|0|17832085|0
1|0|21185848|0
5|0|18179360|0
14|0|18548375|0
7|0|18703212|0
9|0|18895391|0
3|0|23276354|0
2|0|23821714|0
13|0|20826350|0
10|0|21232226|0
6|0|21471356|0
15|0|20140853|0
3|1|237833387|0
11|1|248574973|0
8|1|258079690|0
4|1|259945678|0
5|1|256575557|0
0|1|261029792|0
1|1|259264748|4
9|1|259434878|0
10|1|261497882|0
7|1|270641704|0
6|1|271949075|908
3|1|38145696|32
13|1|276514291|35
12|1|280333226|3
2|1|282882375|29
8|1|40078002|894
11|1|49613339|902
14|1|293867379|34
0|1|38416459|891
4|1|39988965|909
5|1|39611670|913
9|1|38712940|905
1|1|45981223|910
7|1|34470899|2755
12|1|35840066|4581
6|1|41490099|2733
3|1|40889384|3265
13|1|46316618|3688
0|1|32635494|11280
10|1|68304417|899
15|1|325290983|4466
2|1|48564126|3153
4|1|42441653|11661
11|1|46330203|11571
9|1|43568848|28247
8|1|53119663|11770
1|1|44824562|27802
14|1|55724745|12149
0|1|23109769|17373
7|1|45410993|26256
5|1|55455274|26835
6|1|40304926|24473
3|1|38984239|24323
4|1|28243091|23284
12|1|50615281|25654
13|1|42909268|25926
9|1|27493675|5913
11|1|30600459|23011
7|1|23480227|6259
0|1|24119709|7767
1|1|25029578|6396
5|1|26366418|7933
8|1|34948460|23703
14|1|33538396|23301
3|1|26347918|7449
4|1|21281349|2031
6|1|31403485|8645
2|1|55496458|31820
7|1|20018171|9627
12|1|28467757|8831
0|1|19954888|8628
5|1|17803620|8196
11|1|25471013|9249
13|1|28099040|17689
9|1|27714221|10198
1|1|22568848|10398
3|1|15742360|7651
4|1|14208377|5945
8|1|20739458|8402
7|1|10519309|0
1|1|8759724|0
14|1|23070381|10431
9|1|9825200|0
15|1|75353999|31739
10|1|76376133|33046
11|1|13457802|0
6|1|22345815|8589
5|1|15403531|0
12|1|16456256|6594
0|1|16397697|0
13|1|15903631|0
8|1|12182628|0
2|1|25562455|10693
3|1|15302367|0
4|1|19400609|0
14|1|21295932|0
11|2|23608954|3149
6|2|27883192|3177
12|2|29476185|3180
0|2|29607019|3110
13|2|30965412|3136
5|2|32429869|3163
10|2|40819161|13693
15|2|44119810|11791
3|2|44769099|20033
8|2|46747580|20504
7|2|56865169|17847
11|2|28732464|16438
0|2|22372331|16509
1|2|58105051|21447
4|2|43572960|17463
12|2|24867764|15951
13|2|22318707|13175
6|2|27327352|14092
9|2|59641277|15212
2|2|53045483|16186
5|2|24403006|16693
3|2|12621075|642
7|2|11145653|603
14|2|45173540|18383
1|2|13989817|660
15|2|27161538|15734
11|2|17450567|647
10|2|29706663|16838
12|2|14261337|653
8|2|18325517|650
4|2|15738380|679
0|2|17132820|637
9|2|14226105|626
13|2|17682656|636
6|2|17865130|642
5|2|18409552|642
2|2|19751687|640
7|2|18271647|5796
3|2|21183658|5672
14|2|22416961|6407
8|3|18027497|4685
15|3|18465388|5885
1|2|20622327|5545
11|3|19841391|5461
12|3|22055867|5068
6|3|19775156|4957
4|3|23701303|6150
13|3|20702085|4889
10|3|25264672|6385
9|3|23869157|4366
0|3|25130067|6125
5|3|21801472|5478
7|3|17436569|97
3|3|16466827|100
2|3|24272813|4965
15|3|16488326|784
14|3|19726710|828
11|3|16093230|808
8|3|18050964|724
1|3|17463054|831
12|3|16028784|824
13|3|15224874|748
6|3|16870413|732
4|3|17920662|737
7|3|14493854|1205
10|3|18380895|886
0|3|17976075|939
9|3|21597223|1016
3|3|16074287|1184
5|3|19833029|1169
15|3|13643481|471
2|3|20406933|1124
1|3|16468178|753
14|3|18642331|701
8|3|19920148|710
11|3|20460841|737
12|3|18335944|696
4|3|16249144|669
13|3|18790769|698
6|3|19070446|644
0|3|18343169|436
9|3|15421218|427
10|3|19971449|540
3|3|17504521|243
5|3|18939992|1263
15|3|20283537|1291
2|3|18978237|1294
7|3|30792944|248
11|3|17968266|1004
14|3|20629732|1042
